age,annual_income,credit_score,loan_amount,employment_type,existing_loans,loan_approved
25,1035667,797,797518,business,2,1
46,797035,649,709612,salaried,4,0
24,892619,786,606040,self_employed,0,1
40,170961,534,762439,salaried,3,0
44,1154563,829,601524,business,3,1
49,558475,305,220412,self_employed,0,0
35,616436,349,358990,self_employed,4,0
44,1166595,738,90883,self_employed,0,1
29,518673,632,532102,business,1,0
46,894165,482,430202,business,4,0
47,635193,721,723116,salaried,2,1
29,336321,560,736599,salaried,1,0
59,348047,775,261697,salaried,1,0
25,196210,533,240607,self_employed,3,0
28,360003,631,461264,business,4,0
21,940450,525,675874,business,0,0
32,1047426,769,702519,salaried,3,1
27,590341,385,360252,salaried,4,0
40,1155175,776,176640,self_employed,0,1
26,356955,547,314713,salaried,4,0
45,401715,483,748808,salaried,1,0
21,858884,376,653106,business,2,0
55,979232,385,271360,self_employed,3,0
30,696554,530,548303,business,3,0
35,464934,615,260347,salaried,4,0
59,1112091,700,565589,self_employed,0,1
25,796127,335,300773,business,3,0
30,380349,588,359392,salaried,3,0
44,820130,461,109369,salaried,2,0
56,530967,345,664411,salaried,3,0
24,872051,775,733168,salaried,1,1
29,956301,698,591480,self_employed,1,1
40,750911,345,649588,business,0,0
22,559373,342,684949,salaried,4,0
21,604280,590,401595,self_employed,2,0
37,785558,395,367489,business,2,0
52,437093,483,476350,self_employed,3,0
50,342149,530,511236,business,3,0
49,825884,565,793408,business,1,0
28,1040858,569,337367,self_employed,2,0
44,1031135,641,117055,self_employed,0,0
31,690869,301,663042,self_employed,0,0
56,889428,587,344576,business,0,0
21,855513,508,286366,self_employed,4,0
28,760333,797,326094,salaried,1,1
44,167110,461,526094,business,2,0
49,760950,555,565283,business,3,0
53,927704,638,165789,business,4,0
42,897426,761,346003,salaried,0,1
57,501854,566,762241,business,2,0
