Customer_ID,Age,Annual_Income,Spending_Score
CUST_1,27,34426,26
CUST_2,22,32556,32
CUST_3,18,29714,29
CUST_4,19,28478,38
CUST_5,29,27377,20
CUST_6,27,28593,32
CUST_7,18,29212,24
CUST_8,19,23216,34
CUST_9,28,34464,33
CUST_10,26,24767,24
CUST_11,27,25477,26
CUST_12,18,24297,30
CUST_13,28,30176,29
CUST_14,26,29972,32
CUST_15,24,32668,36
CUST_16,22,26566,24
CUST_17,21,22814,26
CUST_18,18,20534,29
CUST_19,22,23680,28
CUST_20,29,32098,36
CUST_21,24,27235,31
CUST_22,26,32734,27
CUST_23,29,27263,37
CUST_24,28,24451,27
CUST_25,19,33211,37
CUST_26,26,21106,21
CUST_27,22,22110,31
CUST_28,19,23830,34
CUST_29,21,21613,30
CUST_30,24,20506,35
CUST_31,23,33675,25
CUST_32,21,29264,36
CUST_33,27,29589,33
CUST_34,24,26109,28
CUST_35,27,25869,23
CUST_36,19,20459,32
CUST_37,27,22033,37
CUST_38,22,33939,25
CUST_39,29,31734,38
CUST_40,20,23493,39
CUST_41,43,52043,60
CUST_42,43,61397,45
CUST_43,36,51947,63
CUST_44,37,56344,52
CUST_45,44,55433,46
CUST_46,38,61160,48
CUST_47,41,43429,56
CUST_48,42,60826,50
CUST_49,40,45703,44
CUST_50,38,63176,62
CUST_51,39,64277,59
CUST_52,32,42376,61
CUST_53,30,56796,49
CUST_54,36,41279,43
CUST_55,37,44973,64
CUST_56,38,47710,43
CUST_57,41,53435,56
CUST_58,31,57369,51
CUST_59,44,51929,49
CUST_60,37,46350,62
CUST_61,41,61717,58
CUST_62,42,60414,59
CUST_63,31,61517,49
CUST_64,34,60137,57
CUST_65,40,58948,50
CUST_66,30,46871,44
CUST_67,38,46684,40
CUST_68,42,48743,61
CUST_69,35,44443,40
CUST_70,34,60583,50
CUST_71,37,44873,48
CUST_72,38,45383,57
CUST_73,38,44246,53
CUST_74,32,42080,43
CUST_75,42,43843,62
CUST_76,36,53833,40
CUST_77,32,57588,40
CUST_78,38,47116,46
CUST_79,43,45828,45
CUST_80,38,46302,55
CUST_81,60,100150,92
CUST_82,51,90856,72
CUST_83,55,94436,85
CUST_84,56,88569,90
CUST_85,61,105074,93
CUST_86,57,98609,65
CUST_87,45,116586,65
CUST_88,62,99299,90
CUST_89,60,81754,83
CUST_90,57,98107,92
CUST_91,53,74532,67
CUST_92,55,107509,82
CUST_93,58,88653,92
CUST_94,56,92511,71
CUST_95,46,77088,87
CUST_96,63,82222,94
CUST_97,58,88218,75
CUST_98,53,99346,72
CUST_99,54,117272,93
CUST_100,50,82334,84
CUST_101,45,100624,90
CUST_102,63,104295,65
CUST_103,48,74446,72
CUST_104,61,105926,92
CUST_105,63,81640,94
CUST_106,61,109725,75
CUST_107,59,117122,88
CUST_108,64,71458,90
CUST_109,60,108444,91
CUST_110,64,81649,81
CUST_111,62,84655,67
CUST_112,63,103643,67
CUST_113,59,72765,91
CUST_114,61,102274,77
CUST_115,55,115651,75
CUST_116,62,81941,80
CUST_117,45,90935,65
CUST_118,62,88904,70
CUST_119,54,71127,89
CUST_120,61,94631,92
