House_ID,Area_sqft,Bedrooms,Price_Lakhs
H0001,2237,4,75
H0002,618,3,68
H0003,3044,3,32
H0004,1600,1,80
H0005,1450,4,68
H0006,1988,5,65
H0007,1954,5,81
H0008,1967,2,27
H0009,1421,2,62
H0010,1054,5,39
H0011,2224,5,116
H0012,3372,4,109
H0013,1310,3,58
H0014,2790,2,104
H0015,1516,3,68
H0016,3475,4,83
H0017,3252,5,81
H0018,2096,3,73
H0019,2040,5,28
H0020,904,5,107
H0021,1335,1,56
H0022,2938,3,68
H0023,2563,3,60
H0024,2749,5,36
H0025,2609,4,107
H0026,3489,1,40
H0027,1561,5,70
H0028,1626,2,78
H0029,2732,2,58
H0030,2975,1,74
H0031,3463,4,60
H0032,2073,5,58
H0033,3101,3,32
H0034,2547,1,83
H0035,3276,4,30
H0036,1777,3,38
H0037,1264,2,30
H0038,611,2,96
H0039,1756,3,65
H0040,903,1,64
H0041,2363,2,20
H0042,3430,5,59
H0043,642,3,38
H0044,1543,3,95
H0045,2990,2,91
H0046,1949,1,91
H0047,3145,5,80
H0048,3011,1,31
H0049,1490,4,80
H0050,3074,4,52
H0051,1604,2,64
H0052,620,2,109
H0053,1006,2,111
H0054,3266,4,88
H0055,1614,1,27
H0056,935,1,44
H0057,2438,2,110
H0058,1747,5,65
H0059,3046,1,106
H0060,3440,4,49
H0061,2427,3,66
H0062,1314,3,106
H0063,650,3,68
H0064,923,5,66
H0065,1388,2,103
H0066,740,4,101
H0067,1069,5,37
H0068,1386,4,85
H0069,2425,4,87
H0070,1957,2,113
H0071,2516,3,52
H0072,1563,2,55
H0073,972,5,101
H0074,3141,5,38
H0075,2292,5,47
H0076,3398,2,59
H0077,1779,4,103
H0078,2938,4,116
H0079,2271,1,95
H0080,705,5,34
H0081,2043,4,60
H0082,3317,1,58
H0083,2281,4,21
H0084,601,5,82
H0085,3236,3,48
H0086,3291,5,93
H0087,2737,2,85
H0088,949,4,70
H0089,1886,4,94
H0090,1662,2,96
H0091,2806,2,29
H0092,2959,3,33
H0093,1044,4,101
H0094,2945,4,70
H0095,1551,3,92
H0096,635,1,58
H0097,1707,3,47
H0098,2075,5,22
H0099,2398,4,103
H0100,2445,2,89
H0101,2008,5,46
H0102,1795,4,21
H0103,1999,3,112
H0104,2308,5,57
H0105,1985,4,22
H0106,3206,1,35
H0107,2788,1,113
H0108,1900,2,59
H0109,3373,4,21
H0110,1843,1,100
H0111,1120,3,60
H0112,2406,4,31
H0113,609,3,54
H0114,1583,3,84
H0115,3025,1,74
H0116,2256,4,64
H0117,2260,5,98
H0118,3329,1,109
H0119,3231,1,104
H0120,2799,4,81
H0121,1319,4,68
H0122,1672,3,114
H0123,1458,4,44
H0124,1916,3,42
H0125,2203,1,43
H0126,649,2,57
H0127,3311,5,47
H0128,3178,1,40
H0129,745,4,73
H0130,1514,5,37
H0131,2062,2,55
H0132,2889,2,118
H0133,1180,3,64
H0134,3334,5,92
H0135,2184,3,72
H0136,1082,1,49
H0137,1849,5,79
H0138,1272,1,117
H0139,1230,3,51
H0140,3308,5,86
H0141,1261,3,86
H0142,3452,5,47
H0143,3066,3,63
H0144,1587,2,98
H0145,2146,3,60
H0146,1249,2,82
H0147,1568,3,42
H0148,3237,5,94
H0149,1700,5,67
H0150,3156,5,51
H0151,1040,4,76
H0152,1520,1,119
H0153,1369,5,52
H0154,1943,2,43
H0155,2426,5,58
H0156,862,4,53
H0157,2177,2,75
H0158,3284,4,47
H0159,3106,2,56
H0160,1598,3,26
H0161,1299,1,87
H0162,2949,1,56
H0163,2203,4,75
H0164,1841,1,84
H0165,1725,4,84
H0166,3201,4,66
H0167,2935,4,39
H0168,1790,1,38
H0169,3268,4,48
H0170,1605,1,93
H0171,635,4,79
H0172,1343,5,37
H0173,2364,4,111
H0174,952,2,54
H0175,2522,4,62
H0176,672,3,114
H0177,3295,4,110
H0178,1976,2,30
H0179,2514,2,68
H0180,1693,1,57
H0181,3072,5,83
H0182,1307,4,88
H0183,2404,1,27
H0184,3208,5,53
H0185,3475,4,67
H0186,1555,3,75
H0187,3164,4,95
H0188,3075,2,84
H0189,759,2,50
H0190,2796,3,23
H0191,3423,1,69
H0192,2335,5,88
H0193,2185,4,49
H0194,666,2,107
H0195,3028,1,78
H0196,657,3,86
H0197,941,2,94
H0198,1753,3,64
H0199,3374,4,23
H0200,1795,5,45
H0201,3417,2,46
H0202,3261,2,65
H0203,1832,4,83
H0204,3001,1,110
H0205,2094,5,70
H0206,2421,2,69
H0207,715,5,25
H0208,1261,2,78
H0209,2065,5,34
H0210,3100,3,49
H0211,2468,2,61
H0212,2934,5,56
H0213,1616,1,61
H0214,910,3,54
H0215,807,3,106
H0216,3265,1,25
H0217,3093,5,87
H0218,3317,4,37
H0219,1232,1,92
H0220,2702,5,48
H0221,1256,1,96
H0222,2023,1,78
H0223,2531,2,66
H0224,3162,5,36
H0225,2279,4,115
H0226,836,2,41
H0227,947,1,87
H0228,3274,1,88
H0229,1229,1,56
H0230,2140,5,68
H0231,2603,5,32
H0232,1871,2,53
H0233,963,4,105
H0234,2968,2,72
H0235,885,3,106
H0236,748,1,70
H0237,1707,1,22
H0238,3053,1,61
H0239,1055,2,117
H0240,2366,2,51
H0241,1399,1,70
H0242,1784,2,104
H0243,1612,5,65
H0244,3431,5,40
H0245,3107,2,63
H0246,2123,1,30
H0247,3385,2,87
H0248,3156,2,20
H0249,1080,2,111
H0250,2286,3,82
H0251,2761,5,43
H0252,3396,4,118
H0253,2201,4,32
H0254,3008,3,117
H0255,940,2,30
H0256,3417,3,119
H0257,2610,3,70
H0258,3408,1,36
H0259,3096,5,118
H0260,2466,4,101
H0261,1434,2,105
H0262,1803,4,43
H0263,2325,4,38
H0264,2289,5,56
H0265,910,4,104
H0266,861,4,27
H0267,2042,3,47
H0268,1005,5,24
H0269,2790,1,36
H0270,941,2,55
H0271,1939,4,38
H0272,843,2,83
H0273,1089,1,110
H0274,611,2,117
H0275,1160,1,30
H0276,641,3,73
H0277,3325,4,64
H0278,1193,1,66
H0279,2052,2,31
H0280,2426,4,40
H0281,2293,3,30
H0282,733,4,111
H0283,1547,1,24
H0284,672,3,100
H0285,998,2,75
H0286,2028,3,39
H0287,3225,3,60
H0288,729,5,65
H0289,2411,3,31
H0290,2601,3,89
H0291,865,4,36
H0292,2160,2,38
H0293,2585,4,45
H0294,1392,4,67
H0295,2900,1,71
H0296,3469,4,115
H0297,1912,5,89
H0298,763,5,74
H0299,694,1,119
H0300,2405,2,94
H0301,3480,2,52
H0302,1733,4,81
H0303,2983,4,107
H0304,1421,4,42
H0305,837,2,34
H0306,3028,3,46
H0307,3130,5,94
H0308,2560,3,83
H0309,1648,3,100
H0310,2276,2,70
H0311,3129,3,72
H0312,1563,1,97
H0313,1136,4,110
H0314,2203,1,101
H0315,2579,5,111
H0316,727,4,70
H0317,691,3,66
H0318,1142,5,23
H0319,1445,4,26
H0320,2281,3,54
H0321,2451,1,67
H0322,3094,4,92
H0323,989,3,91
H0324,3319,1,64
H0325,2484,5,100
H0326,642,5,100
H0327,853,5,116
H0328,1683,5,115
H0329,3310,2,91
H0330,3114,4,38
H0331,2934,4,82
H0332,2140,2,57
H0333,2553,3,86
H0334,3425,3,78
H0335,2992,5,88
H0336,1241,1,32
H0337,3029,3,66
H0338,1289,1,80
H0339,1876,4,50
H0340,2550,1,99
H0341,1679,4,115
H0342,2086,2,41
H0343,1056,2,112
H0344,1582,5,105
H0345,2730,3,62
H0346,1722,5,86
H0347,748,4,73
H0348,1952,5,29
H0349,1779,1,61
H0350,789,4,83
H0351,1482,2,40
H0352,2910,3,99
H0353,999,4,95
H0354,3411,4,85
H0355,1208,1,60
H0356,2395,3,43
H0357,2238,2,54
H0358,2175,4,75
H0359,3432,4,49
H0360,2748,1,76
H0361,1982,5,113
H0362,2003,2,66
H0363,1419,3,54
H0364,1419,4,38
H0365,1019,4,27
H0366,723,2,45
H0367,1021,5,90
H0368,2108,4,49
H0369,2197,2,26
H0370,1367,1,86
H0371,2644,5,84
H0372,3130,3,55
H0373,3166,4,44
H0374,2802,2,56
H0375,2739,1,20
H0376,2149,3,34
H0377,3102,2,56
H0378,2364,2,32
H0379,2644,3,27
H0380,3245,1,24
H0381,1109,1,79
H0382,1806,5,92
H0383,985,4,20
H0384,2197,3,55
H0385,3052,3,54
H0386,2893,3,85
H0387,1341,1,82
H0388,3308,4,42
H0389,3297,5,28
H0390,2511,2,53
H0391,2046,2,65
H0392,1500,3,97
H0393,2712,4,23
H0394,2860,1,49
H0395,2609,4,114
H0396,841,4,94
H0397,3140,1,118
H0398,2985,3,91
H0399,2620,4,22
H0400,772,2,33
H0401,1271,1,79
H0402,763,5,96
H0403,1064,3,64
H0404,1096,1,115
H0405,1299,5,53
H0406,3042,5,64
H0407,1302,4,80
H0408,2540,4,102
H0409,2955,4,35
H0410,2391,1,85
H0411,782,1,59
H0412,1228,3,36
H0413,3157,4,53
H0414,2331,5,35
H0415,1145,2,79
H0416,2187,3,85
H0417,1223,1,85
H0418,1193,3,109
H0419,1343,3,32
H0420,2368,3,75
H0421,2059,3,50
H0422,2548,2,53
H0423,3201,4,58
H0424,2668,5,86
H0425,3201,3,27
H0426,3044,3,106
H0427,3272,3,97
H0428,704,4,74
H0429,2839,1,46
H0430,616,1,112
H0431,992,2,72
H0432,1024,1,58
H0433,2776,3,84
H0434,1171,3,36
H0435,2676,3,49
H0436,1720,2,72
H0437,841,3,32
H0438,2879,1,40
H0439,1388,4,38
H0440,1314,4,72
H0441,1358,5,38
H0442,3449,1,76
H0443,1375,3,44
H0444,3373,4,105
H0445,2847,1,50
H0446,678,4,100
H0447,1455,3,74
H0448,3114,4,42
H0449,3228,5,51
H0450,2039,5,81
H0451,3096,4,93
H0452,2734,1,29
H0453,2748,1,119
H0454,1631,1,91
H0455,1444,4,73
H0456,686,1,71
H0457,2690,3,39
H0458,1007,5,51
H0459,3311,3,33
H0460,2268,1,69
H0461,747,3,47
H0462,2924,1,72
H0463,831,4,43
H0464,2550,3,98
H0465,965,4,41
H0466,2274,4,49
H0467,1035,2,82
H0468,998,1,23
H0469,1834,5,96
H0470,2014,1,78
H0471,3146,5,106
H0472,3187,1,27
H0473,1162,4,101
H0474,3089,3,31
H0475,1884,3,50
H0476,1372,2,97
H0477,2997,5,53
H0478,2637,5,101
H0479,3167,5,117
H0480,1943,4,94
H0481,2785,5,95
H0482,2173,3,68
H0483,1591,4,98
H0484,3015,1,76
H0485,1846,5,114
H0486,959,5,112
H0487,1520,1,45
H0488,2976,5,37
H0489,3110,1,115
H0490,1562,4,105
H0491,2427,3,57
H0492,3483,1,100
H0493,2213,2,106
H0494,2240,1,107
H0495,2816,5,69
H0496,816,4,27
H0497,977,4,60
H0498,718,1,25
H0499,789,3,88
H0500,3414,2,63
H0501,969,4,83
H0502,2401,5,48
H0503,2796,5,47
H0504,1251,3,30
H0505,2482,4,84
H0506,2111,1,38
H0507,1369,5,28
H0508,3021,3,46
H0509,1380,4,53
H0510,2316,4,63
H0511,2807,4,87
H0512,2998,4,119
H0513,1911,4,101
H0514,1849,5,34
H0515,1122,3,70
H0516,1121,4,32
H0517,1382,2,102
H0518,2920,2,68
H0519,1535,3,89
H0520,2830,1,75
H0521,2288,1,95
H0522,1087,1,70
H0523,2450,2,56
H0524,1445,1,36
H0525,2771,5,77
H0526,3437,4,106
H0527,3061,2,109
H0528,2603,3,48
H0529,2348,3,52
H0530,1285,4,79
H0531,2760,2,110
H0532,2769,1,108
H0533,2167,1,74
H0534,1845,5,29
H0535,638,5,66
H0536,3144,1,42
H0537,1379,3,104
H0538,1856,3,40
H0539,2796,5,32
H0540,3308,4,52
