Student_ID,Internal_Marks,Final_Exam_Marks,Attendance_Percentage
S0001,43,66,77
S0002,30,34,63
S0003,36,60,76
S0004,87,58,73
S0005,66,97,73
S0006,44,52,72
S0007,92,35,66
S0008,40,63,74
S0009,31,71,78
S0010,56,43,94
S0011,61,39,76
S0012,36,52,94
S0013,67,48,78
S0014,47,96,79
S0015,60,33,95
S0016,66,71,94
S0017,37,57,91
S0018,97,86,99
S0019,90,43,83
S0020,32,91,76
S0021,32,98,66
S0022,50,64,60
S0023,21,71,94
S0024,35,89,91
S0025,28,53,95
S0026,92,74,72
S0027,57,37,65
S0028,94,25,73
S0029,73,58,96
S0030,75,72,74
S0031,64,72,63
S0032,53,73,99
S0033,28,88,75
S0034,27,85,87
S0035,26,53,75
S0036,55,63,63
S0037,37,50,85
S0038,22,41,87
S0039,47,95,91
S0040,89,37,61
S0041,63,93,90
S0042,40,50,62
S0043,47,73,67
S0044,73,91,83
S0045,73,31,74
S0046,84,82,90
S0047,40,73,68
S0048,32,77,98
S0049,76,89,61
S0050,68,86,67
S0051,73,41,66
S0052,29,67,98
S0053,72,49,75
S0054,63,27,94
S0055,66,53,89
S0056,72,56,69
S0057,93,50,97
S0058,65,40,77
S0059,32,49,64
S0060,56,78,88
S0061,43,52,98
S0062,21,97,93
S0063,33,80,82
S0064,29,89,64
S0065,54,65,89
S0066,44,75,65
S0067,22,95,63
S0068,36,53,88
S0069,31,43,82
S0070,73,90,65
S0071,43,65,91
S0072,48,69,77
S0073,62,39,74
S0074,44,27,99
S0075,79,35,91
S0076,84,77,68
S0077,47,70,96
S0078,35,54,69
S0079,66,81,79
S0080,77,42,65
S0081,95,75,62
S0082,46,72,70
S0083,72,90,76
S0084,61,32,91
S0085,78,46,63
S0086,66,30,63
S0087,53,81,76
S0088,56,60,78
S0089,25,81,64
S0090,26,73,91
S0091,44,69,81
S0092,52,90,65
S0093,74,69,94
S0094,77,44,81
S0095,26,88,60
S0096,76,91,79
S0097,31,27,81
S0098,35,78,70
S0099,99,88,72
S0100,62,64,62
S0101,96,83,68
S0102,26,79,71
S0103,70,86,82
S0104,92,28,73
S0105,51,84,92
S0106,94,99,77
S0107,27,54,68
S0108,91,26,82
S0109,64,86,69
S0110,78,73,78
S0111,23,33,64
S0112,86,55,82
S0113,48,85,89
S0114,48,72,84
S0115,47,49,87
S0116,96,60,93
S0117,98,32,84
S0118,63,97,69
S0119,23,82,73
S0120,28,69,89
S0121,24,86,84
S0122,75,63,73
S0123,69,82,94
S0124,94,88,93
S0125,34,68,69
S0126,51,53,94
S0127,47,83,70
S0128,41,95,70
S0129,36,33,80
S0130,78,30,80
S0131,90,53,81
S0132,76,82,66
S0133,45,41,76
S0134,44,40,61
S0135,29,27,71
S0136,64,45,77
S0137,30,88,70
S0138,96,60,75
S0139,72,86,77
S0140,91,66,94
S0141,87,66,85
S0142,47,85,75
S0143,94,37,65
S0144,84,35,71
S0145,68,78,72
S0146,66,40,63
S0147,71,32,98
S0148,73,83,61
S0149,79,81,85
S0150,76,64,86
S0151,66,83,86
S0152,50,26,74
S0153,65,34,67
S0154,45,68,66
S0155,24,35,99
S0156,71,26,71
S0157,94,74,72
S0158,73,36,76
S0159,52,47,76
S0160,69,42,95
S0161,57,86,80
S0162,46,86,67
S0163,34,62,64
S0164,80,91,85
S0165,40,62,75
S0166,65,91,95
S0167,88,85,87
S0168,25,25,88
S0169,57,69,71
S0170,81,52,96
S0171,81,45,89
S0172,97,37,82
S0173,93,51,75
S0174,65,31,73
S0175,32,46,69
S0176,22,98,66
S0177,25,77,96
S0178,27,28,88
S0179,63,47,62
S0180,52,94,74
S0181,94,57,95
S0182,96,52,78
S0183,69,32,72
S0184,30,25,80
S0185,47,61,96
S0186,89,87,86
S0187,60,46,88
S0188,35,94,79
S0189,87,45,84
S0190,67,59,65
S0191,75,29,95
S0192,83,84,61
S0193,78,70,81
S0194,81,74,91
S0195,95,72,75
S0196,30,30,77
S0197,37,80,64
S0198,38,83,95
S0199,74,53,89
S0200,45,95,78
S0201,25,42,82
S0202,23,26,93
S0203,48,32,72
S0204,78,99,88
S0205,36,78,95
S0206,62,62,81
S0207,99,72,95
S0208,85,51,68
S0209,53,44,98
S0210,27,36,78
S0211,32,67,97
S0212,27,85,65
S0213,84,55,74
S0214,62,85,79
S0215,58,98,68
S0216,78,91,91
S0217,63,59,63
S0218,28,39,77
S0219,56,40,64
S0220,93,37,79
S0221,55,59,82
S0222,47,99,70
S0223,61,83,96
S0224,62,45,81
S0225,61,78,63
S0226,85,99,88
S0227,74,54,93
S0228,91,72,72
S0229,67,59,68
S0230,41,62,90
S0231,46,55,66
S0232,86,48,63
S0233,32,73,78
S0234,64,56,89
S0235,29,79,90
S0236,28,82,94
S0237,73,27,80
S0238,46,93,90
S0239,53,34,78
S0240,20,49,90
S0241,51,92,91
S0242,90,85,61
S0243,86,53,69
S0244,39,43,61
S0245,54,67,61
S0246,97,90,83
S0247,36,98,76
S0248,37,85,91
S0249,64,67,75
S0250,72,49,75
S0251,87,44,98
S0252,84,72,90
S0253,20,48,83
S0254,77,35,60
S0255,45,79,70
S0256,39,52,80
S0257,29,93,63
S0258,78,87,66
S0259,94,83,85
S0260,60,29,71
S0261,24,75,90
S0262,84,45,76
S0263,36,36,92
S0264,41,74,70
S0265,60,28,87
S0266,87,66,91
S0267,88,62,60
S0268,30,49,87
S0269,75,38,66
S0270,70,99,61
S0271,40,56,83
S0272,95,35,63
S0273,45,85,78
S0274,38,42,85
S0275,79,51,70
S0276,90,79,99
S0277,66,78,70
S0278,90,99,62
S0279,45,45,71
S0280,59,68,62
S0281,24,29,86
S0282,40,65,61
S0283,97,83,75
S0284,23,78,61
S0285,42,98,89
S0286,34,46,79
S0287,27,89,97
S0288,60,88,87
S0289,38,95,84
S0290,65,28,91
S0291,47,89,69
S0292,87,39,99
S0293,34,46,92
S0294,56,71,72
S0295,20,70,96
S0296,86,38,75
S0297,43,74,81
S0298,46,44,79
S0299,59,74,86
S0300,82,57,75
S0301,80,83,93
S0302,55,67,91
S0303,43,36,85
