YearsExperience,SkillsCount,ProjectsCompleted,Certifications
1,7,1,1
0,7,1,1
1,7,1,1
0,4,1,1
0,4,3,0
1,7,4,1
1,6,2,0
0,5,2,1
0,3,3,0
0,4,3,1
0,7,1,0
0,3,4,0
0,4,1,1
0,5,3,0
1,6,1,0
0,7,2,0
1,5,2,0
1,4,1,1
0,7,4,0
0,3,1,0
1,6,1,1
0,4,4,1
0,6,4,1
1,7,4,0
1,5,2,0
1,6,1,1
0,3,3,0
0,4,4,1
1,3,4,0
0,6,1,1
1,5,3,0
0,5,1,1
1,3,1,0
0,7,4,1
1,7,4,0
0,5,2,0
0,3,3,0
1,3,3,1
0,3,4,0
0,6,4,0
1,7,4,0
0,7,3,1
0,6,2,0
0,4,3,1
1,6,4,0
1,3,4,1
1,6,2,1
1,3,1,0
1,5,1,1
0,3,3,1
0,7,1,0
1,6,1,1
0,3,3,1
0,4,4,1
0,5,1,1
0,4,4,0
1,4,3,1
1,4,4,1
0,5,4,0
0,5,3,0
1,5,4,1
0,5,1,0
0,4,1,0
0,7,1,0
1,7,1,0
1,5,4,0
0,6,1,0
0,3,4,0
0,6,2,0
0,6,4,0
0,6,1,1
0,7,2,1
1,3,3,1
1,6,4,1
0,5,1,1
1,7,1,0
0,5,1,0
0,5,3,1
1,6,2,1
1,5,2,0
0,3,1,1
0,5,4,0
1,6,1,1
1,5,1,0
0,7,4,1
0,7,1,0
0,7,3,1
1,4,1,1
0,7,3,0
1,7,1,0
0,4,2,1
1,7,4,1
1,6,2,0
1,7,1,0
1,7,1,0
0,4,3,1
1,6,1,1
1,5,1,0
1,3,1,1
0,6,2,1
0,5,3,0
0,6,2,1
0,5,3,0
0,5,2,0
0,6,1,1
1,4,2,1
1,6,2,0
1,6,3,0
0,5,3,0
1,3,2,1
1,5,3,0
0,7,3,0
1,6,3,0
0,6,4,0
1,4,3,1
0,5,4,1
0,4,4,0
0,6,3,1
1,5,2,1
1,5,3,1
0,7,1,0
0,7,2,1
1,3,4,1
1,7,4,0
0,5,2,0
1,7,2,1
1,3,3,1
1,6,4,0
0,7,1,0
0,5,3,0
1,6,2,0
0,5,4,1
1,6,2,0
1,5,2,1
0,7,2,1
0,7,3,1
0,3,1,0
1,6,1,0
1,3,4,1
0,4,2,1
0,7,1,1
0,6,2,1
1,3,4,1
1,3,2,0
1,4,1,0
0,3,2,0
0,5,1,1
1,7,4,1
0,3,2,0
0,3,1,0
0,4,4,1
0,5,2,0
1,3,4,0
0,7,1,0
1,7,2,1
1,3,2,1
0,5,2,0
1,7,4,1
1,7,4,0
0,5,1,0
1,5,3,1
1,3,2,1
1,6,2,1
1,4,1,0
1,6,2,0
1,6,4,0
1,7,4,1
1,5,2,0
0,7,2,0
0,4,4,0
0,3,2,0
1,4,4,1
1,7,3,1
1,7,3,1
0,7,2,0
0,7,2,0
0,6,2,0
1,3,4,1
0,6,3,1
0,7,3,1
1,5,1,1
0,6,1,1
1,7,2,0
0,7,4,1
1,3,2,1
1,4,3,1
1,6,2,0
1,6,2,1
1,6,3,1
0,7,3,1
1,3,3,0
1,7,3,0
1,7,1,1
1,5,4,1
0,3,4,1
1,6,3,1
0,4,4,0
1,6,4,1
1,7,4,0
0,3,4,1
0,3,3,0
0,3,2,0
1,5,2,1
0,6,2,0
1,5,1,1
0,4,4,0
0,7,3,0
1,5,3,1
0,5,1,1
0,7,3,0
1,3,2,0
1,7,1,1
1,6,3,1
0,7,1,1
0,3,1,0
0,7,3,1
0,5,2,1
0,4,3,0
1,5,4,1
0,4,4,1
1,7,3,1
0,6,2,1
1,7,4,0
0,3,4,1
0,7,3,1
1,4,3,1
0,5,3,1
1,6,1,1
0,7,1,1
0,7,1,0
1,5,3,0
0,6,2,0
1,7,4,1
0,7,1,1
0,4,2,1
0,4,3,0
0,3,1,1
0,5,3,0
0,6,2,1
0,7,1,1
1,7,1,0
0,3,1,0
0,7,1,0
0,5,2,0
1,3,1,0
1,5,4,0
0,3,4,1
0,7,3,0
0,3,1,1
1,4,4,1
0,6,4,1
1,7,4,1
0,6,2,1
1,7,1,0
1,6,2,0
0,4,2,0
0,6,4,1
0,3,4,0
0,6,3,1
0,7,1,1
0,5,1,1
0,6,4,1
1,6,4,0
0,6,1,0
0,7,3,0
1,6,4,0
0,7,3,0
0,7,2,1
0,5,4,0
0,3,2,1
1,7,4,1
1,4,2,1
0,6,4,0
0,4,3,1
1,6,3,1
0,5,3,0
1,7,2,1
1,3,3,1
1,7,2,1
0,6,4,0
0,3,2,1
0,7,4,1
1,3,1,0
0,6,1,0
0,5,1,1
1,5,2,0
0,7,1,0
0,4,1,0
0,6,1,0
1,7,4,0
0,7,3,0
1,5,2,0
1,3,1,1
1,6,4,0
0,3,3,0
0,6,3,0
0,4,3,1
1,5,4,0
1,4,1,0
0,7,3,1
1,5,4,0
0,7,4,1
0,4,2,1
0,6,4,0
0,7,3,1
0,3,3,0
0,6,4,0
0,6,3,1
1,4,4,1
0,4,3,0
1,5,2,0
1,5,1,1
0,3,2,0
1,6,2,0
1,3,1,0
1,3,3,1
0,4,1,0
0,3,4,0
0,3,1,0
0,7,2,1
0,5,1,1
1,5,3,1
1,6,2,0
0,5,4,1
1,6,3,0
1,7,2,1
1,5,4,0
1,7,3,1
0,5,4,0
0,5,1,0
0,7,1,1
1,3,4,0
1,3,1,1
5,8,11,1
5,13,8,1
4,8,14,2
5,10,5,1
5,14,14,1
4,9,11,3
5,12,6,1
4,14,6,1
5,9,12,1
4,14,14,1
5,13,14,1
5,9,14,2
4,11,9,1
5,8,14,1
4,13,6,2
4,14,9,2
5,10,12,1
3,8,10,1
5,8,7,1
3,9,12,3
3,11,13,3
5,8,9,1
3,14,6,2
4,14,6,1
4,12,11,2
3,12,5,2
4,8,14,2
5,9,6,1
4,9,14,1
3,10,8,2
5,13,5,3
4,13,8,3
5,13,14,3
3,11,9,2
4,9,13,1
5,10,5,2
5,12,9,3
4,14,6,1
5,13,13,2
5,12,10,2
3,12,6,3
3,8,7,2
3,11,12,1
3,10,5,3
3,11,7,3
3,8,14,1
4,10,5,3
3,10,12,2
5,9,5,2
4,11,9,3
5,11,8,1
3,9,11,2
3,12,9,1
5,8,12,2
5,11,5,2
5,9,9,3
4,14,8,3
3,10,7,1
5,13,9,3
3,14,14,2
5,9,7,2
3,13,12,1
4,12,7,1
3,8,5,2
5,13,13,3
3,12,13,3
4,13,10,1
4,10,14,1
3,10,5,2
5,10,12,2
4,10,6,1
4,9,13,2
3,10,12,1
4,14,7,1
4,10,9,3
5,14,13,1
5,9,5,2
5,10,13,3
3,12,8,3
4,12,8,2
3,11,8,2
4,12,14,2
4,8,13,1
4,8,10,3
5,8,12,1
3,9,8,1
3,12,7,1
4,14,5,1
3,8,14,3
5,11,11,3
3,9,8,1
4,11,12,2
5,12,7,3
5,10,5,1
4,11,9,2
3,10,6,2
4,9,7,1
3,11,10,3
3,11,7,2
5,13,7,3
4,9,10,3
5,9,9,2
4,8,14,1
4,12,13,2
5,11,5,2
4,11,7,3
4,14,7,1
3,9,10,3
4,9,12,2
4,12,7,1
5,9,7,1
5,10,10,1
4,10,12,1
3,13,10,1
3,10,14,2
5,10,7,2
4,12,8,2
4,11,5,3
3,10,12,1
3,13,8,1
3,9,10,2
5,10,7,1
4,13,10,3
5,12,13,1
4,14,13,1
5,14,14,3
4,14,7,2
3,9,7,2
3,13,8,1
3,10,11,3
5,11,7,2
3,9,14,2
4,9,12,2
5,14,12,1
4,11,10,3
5,14,8,1
4,9,9,2
4,10,6,3
5,14,10,1
5,14,7,2
3,14,10,2
3,9,9,1
4,10,6,2
4,11,9,2
4,8,9,3
5,11,13,2
5,10,12,1
3,12,11,3
4,14,7,1
3,11,14,2
5,12,8,3
5,12,10,3
5,10,7,3
3,10,13,3
5,14,12,1
4,8,10,2
3,13,8,2
5,9,11,3
3,11,7,2
3,10,14,1
5,11,12,2
5,13,5,1
3,13,7,1
3,14,9,2
5,12,9,1
4,14,14,1
3,9,6,1
3,8,14,1
4,11,12,3
5,9,9,2
5,8,11,3
4,11,11,1
5,9,9,2
5,10,12,1
3,11,13,2
3,9,8,3
3,13,8,2
4,8,12,1
5,9,5,2
5,10,8,2
3,14,10,3
3,11,8,1
4,11,10,2
5,11,9,3
4,10,13,2
5,8,14,1
4,11,13,2
3,8,8,2
4,9,8,2
4,13,12,2
3,13,14,1
5,8,8,3
5,8,6,3
3,13,6,2
4,11,5,1
4,12,9,1
4,12,10,1
5,10,13,1
4,14,9,1
5,13,10,1
4,13,10,2
3,10,7,3
3,12,8,3
5,9,5,2
5,11,8,3
3,11,5,1
3,9,9,1
4,9,12,3
3,12,12,1
5,10,9,1
3,9,14,3
5,10,6,2
5,14,10,3
4,8,5,3
4,11,11,3
4,12,8,3
4,11,9,2
3,12,10,2
4,8,5,1
3,11,13,1
