Products_Viewed,Products_Clicked,Products_Purchased,Time_Spent_Seconds,Cart_Additions,Wishlist_Additions,Product_Ratings
39,24,4,186,7,7,2
29,9,6,405,14,5,3
15,20,0,454,11,1,2
43,17,2,242,13,3,3
8,17,1,85,6,3,1
21,26,8,274,9,5,3
39,20,9,464,2,5,3
19,12,5,393,0,0,4
23,7,9,573,4,7,3
11,2,2,515,12,5,3
11,3,7,376,3,2,1
24,17,7,153,9,8,4
36,5,1,78,7,1,5
40,17,5,108,0,7,1
24,24,6,405,9,9,1
3,17,1,34,0,2,5
22,27,9,478,11,4,3
2,17,1,493,3,5,2
24,2,9,574,7,9,4
44,2,0,160,4,5,2
30,28,7,153,1,3,5
38,22,0,578,5,2,1
2,23,8,48,4,3,1
21,5,5,118,1,0,4
33,1,6,51,12,3,1
12,1,9,195,13,0,1
22,19,6,407,10,0,4
44,2,9,232,10,9,4
25,21,2,142,10,5,5
49,12,1,172,2,4,1
27,26,8,224,14,3,1
42,6,7,244,8,2,5
28,23,9,597,6,0,3
16,4,6,18,6,5,3
15,23,8,83,14,1,3
47,11,3,501,10,7,5
44,24,3,262,5,9,1
3,27,0,239,7,4,5
37,17,7,528,3,6,5
7,6,2,183,7,9,3
21,24,6,177,3,1,2
9,5,1,179,7,7,1
39,20,1,402,8,1,3
18,2,6,203,2,3,2
4,6,5,526,2,0,2
25,22,2,38,10,4,4
14,11,8,174,12,8,1
9,16,9,431,1,0,2
26,16,5,348,12,8,3
2,1,9,505,9,7,4
20,9,9,374,2,5,1
28,28,5,351,2,6,5
47,27,0,509,4,2,3
7,6,3,520,4,0,2
44,16,9,336,1,4,2
8,29,5,226,11,1,3
47,3,5,310,9,4,2
35,20,4,141,12,7,4
14,28,0,79,5,8,1
17,27,7,261,4,1,4
36,4,4,424,5,2,2
40,19,4,454,0,2,5
4,26,6,191,4,0,1
2,3,3,176,8,7,1
6,19,5,100,11,5,3
42,20,3,540,9,7,3
4,7,2,48,13,8,5
29,20,6,135,1,4,1
18,9,7,460,0,2,5
26,1,3,182,13,4,3
44,8,1,229,9,4,3
34,7,9,67,12,4,1
10,18,2,485,10,2,4
36,8,0,465,8,9,2
14,1,7,370,9,3,3
31,11,2,10,8,8,3
48,28,9,396,14,9,4
15,25,6,357,8,8,4
8,25,9,199,5,1,5
14,18,4,514,14,7,5
23,23,9,200,7,7,2
40,10,4,517,13,6,2
21,3,6,378,10,7,1
16,7,8,418,14,2,5
45,28,4,126,12,5,3
18,16,0,143,0,0,5
47,26,9,67,9,6,3
24,16,9,565,3,0,4
26,25,0,182,0,8,5
25,20,1,158,7,0,4
45,28,5,89,0,0,2
41,17,8,222,2,6,2
29,2,7,212,12,1,1
15,1,4,238,3,4,5
45,16,0,236,14,7,4
1,12,6,541,14,7,3
25,5,4,450,14,2,2
7,5,5,411,7,6,2
9,27,6,56,5,2,3
24,23,2,242,13,5,4
1,9,9,314,9,5,4
44,9,2,535,11,2,5
8,3,4,152,6,6,5
24,19,5,424,13,2,1
11,16,8,522,7,7,2
17,16,4,382,1,9,5
8,3,0,575,12,3,4
35,20,3,268,9,0,3
35,24,4,480,13,3,4
33,22,9,21,10,6,2
5,24,9,339,7,3,4
42,1,4,367,2,5,1
39,24,6,417,6,8,2
41,20,3,382,2,0,3
28,11,0,17,14,4,1
7,17,4,131,6,6,2
9,8,6,357,13,0,3
8,4,9,99,10,3,1
12,6,9,325,14,5,1
34,8,5,187,11,1,2
33,20,4,549,12,9,5
48,3,3,50,1,4,1
23,16,1,511,9,9,1
24,25,3,154,5,0,3
37,3,9,210,2,5,4
35,25,9,470,2,5,2
44,29,2,567,14,3,2
40,18,9,556,8,7,5
22,14,0,262,6,3,5
27,18,7,399,4,7,2
