Machine_Temperature,Pressure_Level,Production_Speed,Vibration_Level,Energy_Consumption,Material_Thickness,Defect_Count
40,59,282,4.601521205268171,3496,2.1713385544256334,5
100,78,387,3.042986758476557,2866,1.6963301149444105,3
82,78,406,4.710289246056518,1834,3.407405555581286,3
81,67,399,4.151510530188199,2203,2.747002257403782,5
64,60,181,3.3681604332554462,2725,1.6970867510242131,6
78,32,310,2.9282076598875664,4478,1.1715700007757925,8
74,64,249,1.8080109694856557,2689,1.0723989320935232,9
42,72,136,0.8805084816897452,4267,4.39097176463188,4
83,61,451,3.0642742211836502,4537,1.5956508578219026,8
90,82,411,1.6587466127287858,1310,3.4326979155993573,3
51,46,460,4.345549470885462,1261,4.148086675938198,9
58,57,158,4.96735099305728,2442,3.2633659003313125,1
83,79,230,3.7868960368163056,1405,4.368043542411256,2
98,26,301,0.5433603069065487,3190,2.2657717468781353,0
88,24,342,1.514559418100127,1341,4.802999857920267,5
100,64,134,0.6346371956521737,2339,1.0991525188014362,5
56,77,192,3.2875070741794077,4172,0.9596728834589214,0
113,50,306,3.849435236323345,1243,3.464114657933496,2
96,42,452,4.635806671315487,1489,4.742740136359678,4
94,61,490,2.24704449741874,1011,4.139975577363476,2
86,29,431,4.516740682983377,4310,0.8438758674712314,9
51,51,404,4.4016666793025045,1560,1.7571547127062237,2
101,72,449,1.6542590121504532,1041,4.686434981770207,9
119,49,312,4.357613065148798,3725,1.6387629476035306,2
47,58,258,1.94079403422046,1593,4.015266907041137,4
60,50,123,1.554659445345376,2452,4.213094881679167,4
119,21,392,3.2804658280925265,2826,2.7295344655744183,3
109,31,103,1.7090680166368974,4229,2.23857009431742,0
111,58,319,3.188022866812807,4287,2.525559945888918,4
64,85,463,3.0881758469436034,2693,1.5213411246441386,9
51,32,481,2.860850744007448,4533,4.502259122579799,4
54,65,119,1.9640565507407088,1133,2.5277884552839107,3
98,46,251,2.7876486360922366,4138,4.471067482052449,5
65,36,149,3.0227788274285663,4919,0.9756206595782334,9
65,79,276,2.77386575362782,4078,4.947238719500591,3
86,83,195,2.2776553184808876,1947,2.494728893496282,6
71,54,204,0.17186857952669268,4597,0.7152386917734745,6
49,89,349,2.97660236773564,1072,0.6710983170685472,1
55,49,216,0.9253774871993263,1398,3.8579326586682736,2
110,82,453,3.2486222478412294,2428,3.4656599039165634,0
56,47,327,3.8207872068220436,4746,4.109587511574144,7
62,79,165,2.5521820147406333,3625,0.9741539027876268,8
65,56,434,2.757581958400718,3906,0.6600689016599676,3
46,41,361,4.762244942363357,1129,2.788606802514103,5
53,87,394,4.251120070725613,3978,2.244178541672463,8
118,39,342,4.579758928162202,4537,2.578761215019301,5
46,87,470,4.087454812765974,4277,4.962147839916233,8
48,83,285,0.6336998750489841,2811,4.8683748095180155,3
87,36,345,0.8300600942539541,3001,4.740419253529367,7
111,31,224,2.680456606617902,4839,4.027292045454532,8
98,41,367,1.3057413281101915,1265,2.096786121156007,3
78,36,230,2.43580782770168,2560,2.354589186182472,4
57,29,336,2.032390086709916,2985,2.9732721967351603,7
98,84,117,2.7921297683092217,1792,4.23740505382178,9
56,41,139,3.7596910090655316,3300,0.8092077463322049,5
53,69,120,3.605905444786445,3869,2.4093359864819965,6
70,33,498,2.6540472491781384,2312,0.8717794855667091,2
63,83,324,4.129727752203585,1163,2.815959139580802,6
99,66,454,2.2112242485363636,1094,4.5450537080280595,7
84,48,381,4.4939000202166,2805,4.0211821605377205,9
