Likes,Comments,Shares,Watch_Time_Seconds,Click_Through_Rate,Profile_Visits,Post_Frequency
847,386,191,770,0.07557589786984963,259,8
386,425,266,508,0.31848327147695094,619,17
876,274,146,1787,0.036622697063222874,796,16
258,200,126,1498,0.376836164721838,570,10
282,283,45,1724,0.16561752967794716,124,10
625,467,44,1982,0.010065999572197807,353,2
874,172,0,983,0.2604532782262426,272,9
39,326,167,1764,0.03295743517852553,618,17
485,205,107,91,0.14532308333224075,244,11
928,62,18,613,0.3564184788533009,449,10
219,72,71,1980,0.04071791459471427,246,17
128,250,108,1720,0.42127586125444116,519,4
519,123,267,1784,0.011871762102705723,140,16
612,374,239,781,0.1309436959089321,361,15
927,120,89,912,0.37304298751451503,7,5
891,274,102,374,0.16497237336736034,477,6
687,430,249,172,0.05992727015234663,351,17
618,499,7,1081,0.18651462021220966,494,1
612,397,152,520,0.1424927103284175,605,19
259,119,173,1362,0.42292883205867193,426,4
989,421,157,1873,0.16354047961672014,38,17
965,436,214,125,0.3965769111702435,592,9
365,316,176,950,0.44701735095726003,186,2
757,163,174,1882,0.22257053559249948,595,8
786,423,145,346,0.4558721404886521,599,15
543,464,160,890,0.1948858464419645,753,7
648,285,126,746,0.482398424080153,92,6
523,264,81,1897,0.053751867017530736,85,1
906,319,146,849,0.34663944058658896,43,15
813,160,238,156,0.25196887982389504,136,7
886,375,83,1608,0.19994791467326706,420,17
15,307,112,1839,0.3200288205868144,73,2
128,88,224,1356,0.3548899749008223,547,9
574,141,242,452,0.012138002128651453,612,9
108,202,142,846,0.09180701348612737,511,13
886,308,40,1046,0.35939256481081616,155,6
532,226,257,952,0.33652885265332116,254,6
669,488,284,1527,0.48336327751305186,170,3
268,442,104,1734,0.38290851722288366,727,17
161,333,201,296,0.47587862678835563,169,17
259,221,265,729,0.3542448457520554,763,12
923,40,209,1147,0.15604558223332715,321,16
101,195,50,489,0.061628811902919675,566,15
505,67,117,31,0.3930936930390184,455,13
734,475,200,1382,0.3256331185231988,602,1
570,263,38,1759,0.033611146072715155,789,17
246,1,27,692,0.18642472829147938,612,3
639,360,258,1868,0.4788319095873002,154,15
794,124,83,1599,0.25519656139799857,348,4
836,109,154,915,0.22203727664965528,450,4
536,85,116,1843,0.23427280652805405,652,18
130,424,1,329,0.11235253476253022,172,17
352,119,92,135,0.19066651372374965,9,19
195,126,165,286,0.19120849543371654,739,11
792,254,295,1237,0.03565395989186148,264,3
915,182,257,203,0.38610813797377996,437,8
929,15,80,1714,0.2140871716329007,759,14
665,476,267,1697,0.4128681445400474,246,1
381,61,234,1580,0.42667052054874877,666,14
644,368,212,705,0.11387708680234244,545,2
226,431,61,1319,0.332103206263363,498,4
700,157,48,66,0.24141808403986104,128,19
475,267,126,1767,0.4412768015815277,671,6
476,34,222,1336,0.11571293279646251,600,1
264,266,278,1196,0.34212846815192166,604,17
371,63,293,28,0.30779853990383405,326,8
485,493,283,1403,0.15469772401019807,752,19
433,49,276,273,0.07693444278907458,403,1
645,468,106,803,0.3293034826338655,628,5
210,254,145,122,0.371912754484842,605,16
571,148,98,1521,0.1646573984440415,674,6
939,324,72,1360,0.32596797597093374,610,8
376,303,121,551,0.2036141447296366,624,13
394,275,29,656,0.3594713728084827,358,16
449,356,187,588,0.10761548469808602,602,3
942,450,287,1098,0.44620535129172545,717,19
363,171,194,1325,0.15083070226813408,16,12
875,416,155,34,0.19021513400051493,273,16
456,200,171,1582,0.0384650565193714,684,11
724,444,40,10,0.06464098403742544,115,10
727,392,62,920,0.2627723323290408,692,4
225,323,22,1582,0.14112041159670605,90,12
981,34,74,150,0.41938531061367523,81,2
130,464,47,1777,0.017199760440927383,323,19
587,481,159,657,0.19575608384924875,113,5
475,215,117,1934,0.1752993179168554,768,8
797,479,99,197,0.01947053914962451,57,7
985,64,166,1161,0.07094051551025,153,14
276,7,289,210,0.2126849107101313,403,3
155,300,155,1160,0.2515036463792488,627,18
759,342,6,266,0.20810197615488588,265,16
217,430,195,1709,0.27015946242192596,314,19
189,423,55,556,0.301614520703784,714,19
416,331,192,203,0.01486267235263946,40,18
980,437,46,712,0.2374066281322169,104,16
674,75,147,1137,0.4821146280349183,192,8
691,173,274,1568,0.26432581726347887,400,1
545,46,156,1298,0.3419957110548871,277,17
40,14,201,811,0.16281329037927278,353,12
306,360,125,951,0.38925577529485367,748,11
942,146,293,1417,0.3887315261192964,732,5
337,25,63,1293,0.2654350633505281,579,12
313,307,175,423,0.48824677340681466,708,17
74,92,115,1391,0.07151960523370016,255,6
952,405,203,1108,0.018304355795894685,650,1
278,231,30,1388,0.387377523760977,660,5
175,20,112,1617,0.40550621330879244,98,14
895,306,66,1804,0.06890154226908235,587,5
661,37,74,919,0.140135588149717,281,1
272,275,44,197,0.018600658049648167,402,18
836,156,259,1718,0.1537212192824767,108,16
619,178,153,1323,0.38883951822014906,699,9
650,131,154,54,0.2638006585791637,198,19
861,310,233,1606,0.18056684065246117,302,5
782,454,50,92,0.19215225450410184,326,2
858,347,261,1156,0.010663276600579396,153,15
930,27,124,367,0.1569022585069656,551,7
288,259,244,1561,0.32676478340258597,644,4
723,405,29,1099,0.487355277470015,404,1
892,75,121,945,0.4250598052221108,461,13
271,428,124,1690,0.021561532676309274,131,7
929,66,36,384,0.45029469629067126,790,15
65,341,169,171,0.39376722251632673,83,14
482,491,123,1779,0.3923843005497804,398,19
935,193,34,1413,0.23441792191175004,753,18
247,471,86,1689,0.20502259354770638,627,10
155,161,133,1391,0.1584287071282644,108,9
46,346,195,1221,0.04219048088763923,220,8
934,438,273,331,0.12183532811191256,552,10
453,360,200,459,0.13083578113923205,367,17
200,256,284,1507,0.2471977641579988,146,2
659,71,76,1046,0.3762477592323801,111,6
123,86,58,193,0.24216681591499384,614,5
0,421,125,120,0.0383437802291087,557,9
967,261,108,1960,0.4793170024842199,493,5
758,213,223,517,0.471934916356115,504,18
854,152,277,1323,0.39474287614272013,474,9
639,209,67,304,0.4957506717664681,270,17
190,400,68,1484,0.27679634307212886,420,17
578,60,164,913,0.48175649162407097,706,12
515,267,161,1248,0.04704646990220788,366,7
441,261,41,983,0.18918356664807195,279,3
920,217,108,641,0.12043682132331525,282,10
814,282,50,1927,0.10595821122579231,39,2
805,135,249,1600,0.07899344495741127,188,3
142,466,20,1060,0.31498268436733834,163,16
190,379,299,1663,0.39284770931617946,535,2
532,361,138,742,0.2933662157159767,535,10
226,448,91,1264,0.08201172769822274,3,6
312,440,279,1598,0.40745064726740077,289,11
628,92,124,1840,0.321617806510227,432,7
948,108,110,330,0.2002011960022278,470,15
301,240,138,922,0.34032384481267086,180,6
653,354,272,1266,0.1373534398289881,247,9
995,423,98,1703,0.17914418216216316,627,12
459,141,251,446,0.4595680631346752,278,19
400,290,103,790,0.152347207778996,580,3
550,431,213,1566,0.24029425139738894,253,15
392,236,248,1436,0.44616915732404716,180,2
866,339,151,1086,0.3567834616310885,680,2
763,311,249,1820,0.040479580820704346,508,3
844,176,274,1346,0.08217849169669546,760,6
206,140,164,1314,0.013842379478239242,699,15
209,188,7,735,0.31915167721229004,565,10
114,485,283,40,0.22935997845110498,325,9
736,48,4,346,0.075794676942115,356,1
645,301,144,192,0.47938771931781754,649,16
250,368,100,1056,0.26953326473335376,679,6
218,189,163,553,0.1285277141153157,390,9
406,135,146,1479,0.25529574986580666,614,4
442,42,63,1107,0.3430139630402028,84,2
602,403,90,1043,0.0473572168070466,316,4
353,379,116,1517,0.1446048693734671,211,1
887,352,266,1489,0.4054130905331569,514,19
557,89,172,1599,0.235235786497304,383,10
549,294,46,1597,0.2778227995958245,690,15
141,340,139,669,0.22207984108263995,341,19
611,244,245,169,0.03151097189507251,37,16
500,432,148,1915,0.0912173921118764,510,4
839,191,245,1047,0.22831540298352654,419,2
701,317,4,1211,0.11250087804988462,750,13
546,105,183,421,0.03448972404324258,168,1
658,362,19,1911,0.4233883353853936,342,17
541,309,45,1021,0.49078433929041676,305,13
845,381,11,62,0.39864000825840235,541,4
506,232,69,417,0.4283546116352868,701,7
595,264,16,856,0.12856879385535222,536,17
880,343,146,1055,0.4807072180014679,111,9
280,36,153,1063,0.1064935951821799,410,4
423,304,107,712,0.47620060707729783,205,19
855,40,235,269,0.497461454043316,184,1
269,16,69,1238,0.35874417481556387,381,10
153,343,182,1092,0.49076042857799274,495,4
613,276,249,1504,0.2890744919878808,378,9
726,306,227,785,0.13717547375628428,46,13
661,58,101,1499,0.22412798397615422,739,14
943,422,74,1045,0.30084485833560515,550,10
82,182,215,1664,0.04580996539323735,527,6
621,40,202,1960,0.3149481996624506,503,16
946,38,191,1323,0.4907771400135243,21,6
